set_key,year,brand,product,player_name_key,player_name_display,card_count,section_count,sections,affiliation_count,affiliations
2025_bowman_chrome,2025,Bowman,Chrome,cam smith,Cam Smith,6,11,ADIOS|BASE CARDS|BASE CARDS CHROME ROOKIE RED RC VARIATION|BASE CARDS IMAGE VARIATIONS|BOWMAN GPK|BOWMAN SPOTLIGHTS|ETCHED IN GLASS VARIATION|IT CAME TO THE LEAGUE|MELT MASHERS|ROOKIE COLOR RUN VARIATION|ROOKIE SHORT PRINT IMAGE VARIATIONS,1,Houston Astros	Rookie
2025_bowman_chrome,2025,Bowman,Chrome,carlos correa,Carlos Correa,1,1,BASE CARDS,1,Minnesota Twins
2025_bowman_chrome,2025,Bowman,Chrome,carlos lagrange,Carlos Lagrange,2,2,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS,1,New York Yankees
2025_bowman_chrome,2025,Bowman,Chrome,carlos tavares,Carlos Tavares,1,1,BOWMAN CHROME PROSPECT AUTOGRAPHS,1,Washington Nationals
2025_bowman_chrome,2025,Bowman,Chrome,carson williams,Carson Williams,7,7,ADIOS|ADIOS AUTOGRAPH VARIATION|BOWMAN CHROME PROSPECTS|BOWMAN GPK|CHROME AUTOGRAPH RELICS|MAX VOLUME|PRIME CHROME SIGNATURES,1,Tampa Bay Rays
2025_bowman_chrome,2025,Bowman,Chrome,chad patrick,Chad Patrick,1,2,BASE CARDS|BASE CARDS CHROME ROOKIE RED RC VARIATION,1,Milwaukee Brewers	Rookie
2025_bowman_chrome,2025,Bowman,Chrome,chandler simpson,Chandler Simpson,1,2,BASE CARDS|BASE CARDS CHROME ROOKIE RED RC VARIATION,1,Tampa Bay Rays	Rookie
2025_bowman_chrome,2025,Bowman,Chrome,charlie condon,Charlie Condon,11,10,ADIOS|ADIOS AUTOGRAPH VARIATION|BOWMAN CHROME PROSPECTS|BOWMAN GPK|IT CAME TO THE LEAGUE|MAX VOLUME|MELT MASHERS|MELT MASHERS AUTOGRAPH VARIATION|METEORIC RISE|PRIME CHROME SIGNATURES,1,Colorado Rockies
2025_bowman_chrome,2025,Bowman,Chrome,chase burns,Chase Burns,1,1,BOWMAN GPK,1,Cincinnati Reds
2025_bowman_chrome,2025,Bowman,Chrome,chase dollander,Chase Dollander,1,4,BASE CARDS|BASE CARDS CHROME ROOKIE RED RC VARIATION|BASE CARDS IMAGE VARIATIONS|ROOKIE SHORT PRINT IMAGE VARIATIONS,1,Colorado Rockies	Rookie
2025_bowman_chrome,2025,Bowman,Chrome,chase hampton,Chase Hampton,1,1,BOWMAN CHROME PROSPECT AUTOGRAPHS,1,New York Yankees
2025_bowman_chrome,2025,Bowman,Chrome,chase meidroth,Chase Meidroth,1,2,BASE CARDS|BASE CARDS CHROME ROOKIE RED RC VARIATION,1,Chicago White Sox	Rookie
2025_bowman_chrome,2025,Bowman,Chrome,chicago cubs,Chicago Cubs,4,7,BCAR-KA|BCAR-MS|CRA-CH|CRA-MB|CRA-MS|MMA-KA|MVA-MS,1,Rookie
2025_bowman_chrome,2025,Bowman,Chrome,chicago white sox,Chicago White Sox,2,2,CRA-DT|CRA-EQ,1,Rookie
2025_bowman_chrome,2025,Bowman,Chrome,ching-hsien ko,Ching-Hsien Ko,2,2,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS,1,Los Angeles Dodgers
2025_bowman_chrome,2025,Bowman,Chrome,christian moore,Christian Moore,6,6,ADIOS|ADIOS AUTOGRAPH VARIATION|BOWMAN GPK|IT CAME TO THE LEAGUE|MELT MASHERS|MELT MASHERS AUTOGRAPH VARIATION,1,Los Angeles Angels
2025_bowman_chrome,2025,Bowman,Chrome,christian yelich,Christian Yelich,1,1,BASE CARDS,1,Milwaukee Brewers
2025_bowman_chrome,2025,Bowman,Chrome,christopher suero,Christopher Suero,2,2,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS,1,New York Mets
2025_bowman_chrome,2025,Bowman,Chrome,cincinnati reds,Cincinnati Reds,1,1,CRA-RH,1,Rookie
2025_bowman_chrome,2025,Bowman,Chrome,cj abrams,CJ Abrams,1,1,BASE CARDS,1,Washington Nationals
2025_bowman_chrome,2025,Bowman,Chrome,cleveland guardians,Cleveland Guardians,2,2,CRA-AM|CRA-JN,1,Rookie
2025_bowman_chrome,2025,Bowman,Chrome,coby mayo,Coby Mayo,4,6,BASE CARDS|BASE CARDS CHROME ROOKIE RED RC VARIATION|BOWMAN ASCENSIONS|BOWMAN GPK|MAX VOLUME|ROOKIE SHORT PRINT IMAGE VARIATIONS,1,Baltimore Orioles	Rookie
2025_bowman_chrome,2025,Bowman,Chrome,cody bellinger,Cody Bellinger,1,1,BASE CARDS,1,New York Yankees
2025_bowman_chrome,2025,Bowman,Chrome,colorado rockies,Colorado Rockies,3,4,BCAR-CD|CRA-CD|MMA-AA|MMA-ZV,1,Rookie
2025_bowman_chrome,2025,Bowman,Chrome,colson montgomery,Colson Montgomery,2,2,BOWMAN GPK|CHROME AUTOGRAPH RELICS,1,Chicago White Sox
2025_bowman_chrome,2025,Bowman,Chrome,cooper pratt,Cooper Pratt,3,3,CHROME AUTOGRAPH RELICS|MELT MASHERS|MELT MASHERS AUTOGRAPH VARIATION,1,Milwaukee Brewers
2025_bowman_chrome,2025,Bowman,Chrome,corbin burnes,Corbin Burnes,1,1,BASE CARDS,1,Arizona Diamondbacks
2025_bowman_chrome,2025,Bowman,Chrome,corbin carroll,Corbin Carroll,1,1,BASE CARDS,1,Arizona Diamondbacks
2025_bowman_chrome,2025,Bowman,Chrome,corey cousin,Corey Cousin,1,1,BOWMAN CHROME PROSPECT AUTOGRAPHS,1,Kansas City Royals
2025_bowman_chrome,2025,Bowman,Chrome,corey seager,Corey Seager,2,2,BASE CARDS|BOWMAN GPK,1,Texas Rangers
2025_bowman_chrome,2025,Bowman,Chrome,cris rodriguez,Cris Rodriguez,2,5,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS|ETCHED IN GLASS VARIATION|INTERNATIONAL REFRACTOR AUTOGRAPH VARIATION|INTERNATIONAL REFRACTOR VARIATION,1,Detroit Tigers
2025_bowman_chrome,2025,Bowman,Chrome,cristian arguelles,Cristian Arguelles,2,2,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS,1,Colorado Rockies
2025_bowman_chrome,2025,Bowman,Chrome,cristopher acosta,Cristopher Acosta,2,3,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS|INTERNATIONAL REFRACTOR VARIATION,1,Milwaukee Brewers
