player_name,wins,losses,win_rate,avg_win_margin,played
Kris Bubic,1267,2357,0.349614,1.9508,3740
Connor Thomas,865,1629,0.346832,2.5102,2539
Dairon Blanco,1187,2259,0.344457,2.6488,3541
Alan Roden,1147,2184,0.344341,5.5318,3393
Drew Rasmussen,1104,2106,0.343925,1.648,3251
Matt Thaiss,1321,2520,0.343921,1.5725,3909
Isaac Paredes,1148,2210,0.34187,5.3362,3409
Curtis Mead,1483,2857,0.341705,3.3417,4402
Michael Soroka,1008,1987,0.336561,2.0174,3040
Paul DeJong,1360,2728,0.332681,2.1764,4157
Chris Paddack,897,1813,0.330996,0.8558,2766
Christian Vázquez,559,1160,0.325189,0.579,1772
Liam Hicks,989,2072,0.323097,3.9946,3156
Jose Iglesias,917,1959,0.318846,3.3451,2960
Thairo Estrada,1135,2431,0.318284,1.6504,3651
Colton Gordon,908,1945,0.318261,2.9617,2931
Luis Guerrero,961,2066,0.317476,2.2288,3088
Tyler Heineman,912,2072,0.30563,4.9399,3053
Antonio Senzatela,1079,2538,0.298314,1.2703,3703
Carlos Duran,749,1789,0.295114,4.9571,2602
Orlando Ribalta,1034,2481,0.294168,1.1893,3608
Cal Quantrill,773,1989,0.27987,1.0432,2805
Danny Jansen,809,2353,0.255851,3.2305,3205
Jorge Soler,758,2258,0.251326,1.8082,3100
Adael Amador,514,1541,0.250122,2.7292,2109
Victor Caratini,586,1796,0.246012,0.7676,2419
Camilo Doval,530,1701,0.237562,1.0292,2261
Amed Rosario,449,1785,0.200985,1.5717,2323
