seller_username,title,all_in_price,CT_list,player_guess
bensonscardhouse,2025 Topps Update Series Patrick Monteverde /50 - RC - Skeleton,13.94,Holiday Mummy,Patrick Monteverde
ericscardsii,Patrick Monteverde 2025 Topps Update Miami Marlins #US211 RC,1.66,,Patrick Monteverde
junkwaxkids,2025 Topps Update #US211 Patrick Monteverde BUY2GET1 CODE: JWKFAN25,1.29,,Patrick Monteverde
black_squirrel_1,2025 Topps Update Patrick Monteverde Diamante Foil Parallel US211 RC- Marlins,3.0,Diamante,Patrick Monteverde
warriorcards65,Patrick Monteverde 2025 Topps Update Gold US211 #/2025 Miami Marlins Rookie,3.49,Gold 2025,Patrick Monteverde
toobrokeforsleeves,2025 Topps Update Series Patrick Monteverde Rainbow Foil #US211 (RC),2.9,Base Rainbow,Patrick Monteverde
comc_consignment,2025 Topps Update Rainbow Foil Patrick Monteverde #US211 jc3,4.85,Base Rainbow,Patrick Monteverde
gosstech,2025 Topps Update Series - Patrick Monteverde #US211 Rainbow Foil (RC),3.82,Base Rainbow,Patrick Monteverde
hbggaming,2025 Topps Update Series • #US211 Patrick Monteverde RC • Miami Marlins,1.69,,Patrick Monteverde
homeofthecards,2025 Topps Update #US211 Patrick Monteverde Gold #/2025,2.99,Gold 2025,Patrick Monteverde
grandadsbaseballcards,Patrick Monteverde 2025 Topps Update Series #US211 Rookie - Miami Marlins,1.75,,Patrick Monteverde
